Row,Red_Frequency,Green_Frequency,Blue_Frequency,Clear_Frequency,Normalized_RGB_Mean,Red,Green,Blue,Label
F,13875.161615229585,8819.023678949728,11532.20235221772,32038.723931144432,0.8510979091615144,91.38373996498278,55.218411105462664,105.29570517315857,160.0
G,13714.469742353984,8884.410935365968,11374.970079520957,31969.734883647172,0.7869894624265247,88.99333797960038,56.36721630386865,102.3147253780621,164.0
B,13910.435164404664,8840.353545520604,11147.92207660882,31443.369990369552,0.977412980205777,91.9084582377287,55.593160910561416,98.01010332058284,168.0
C,13817.42508,8780.307364,11199.42855,31336.57772,1.0,90.52486934525493,54.538194403996584,98.98661885306451,172.0
D,13954.341141565837,8942.894412275855,11367.272673839436,32048.50343646753,0.974654324559092,92.56158980622735,57.39472725901936,102.16878962061409,176.0
E,13951.311901867612,9048.00486751984,11461.066029856152,32312.95339748657,0.9222599566623965,92.51652778498595,59.241439355676775,103.94702569393823,180.0
F,13499.456979419794,8742.971701494198,11157.10692598819,31477.475190126373,0.8510979091615144,85.79487544255394,53.882234733513386,98.18423964737697,184.0
G,13325.005569536528,8684.608899243178,10868.282418455572,30842.749006015034,0.7869894624265247,83.19979089300399,52.85684394187802,92.7083916772602,188.0
B,14120.570116732346,9273.479927688019,11205.442890367773,32469.853186642198,0.977412980205777,95.03435999152296,63.20286755176446,99.10064523460603,192.0
C,13874.23054,8997.042447,11189.47875,31921.13316,1.0,91.36988958140388,58.34606773702596,98.79797976354087,196.0
D,13820.49559580374,9030.340387584645,11141.133093430037,31560.740331107016,0.974654324559092,90.57054537691765,58.93108765277753,97.88139042126457,200.0
B,25133.87231081942,20601.419620904297,20024.853589842616,31915.15570863011,0.977412980205777,255.0,255.0,255.0,0.0
C,24341.57418277515,19297.811514300214,19431.897602465186,30588.609502002462,1.0,247.07881609780296,239.3228772970476,255.0,4.0
D,23076.0421612065,17903.7474115661,18602.572060345952,28689.605273179724,0.974654324559092,228.2531580057812,214.8302134981979,239.34343521163794,8.0
E,22383.849922147598,17095.586018123482,18251.86624392335,27921.18703332437,0.9222599566623965,217.95632299537834,200.6314221614303,232.69437433598156,12.0
F,21414.497750024664,15949.253218709177,17612.655732324598,26424.95201153127,0.8510979091615144,203.5365436044741,180.49121210754316,220.57552883939556,16.0
G,20928.25981449705,15500.314809515829,17309.129938757364,25819.0307711257,0.7869894624265247,196.30342032540676,172.6036999757856,214.82095795902967,20.0
B,21278.671990379324,15356.254601225424,17081.164019026644,25801.01273231527,0.977412980205777,201.51604213347787,170.0726698448691,210.4989330398933,24.0
C,21001.789019718137,15026.39947415575,17009.17701469761,25331.68723629597,1.0,197.39721775895921,164.2773619291145,209.13412541017573,28.0
D,19962.98871707682,14057.600930878041,16418.50742656718,24147.400793686444,0.974654324559092,181.94434972392202,147.25629599478717,197.93557133730695,32.0
E,19570.549212577436,13744.306930315784,16165.611231893063,23588.493272898802,0.9222599566623965,176.10654253485512,141.75195468729746,193.14089125254952,36.0
F,18981.318064320014,13085.975076095428,15817.843339699815,22974.861131714784,0.8510979091615144,167.3413244722461,130.18555631159248,186.54753072782628,40.0
G,18273.39651928779,12577.412087635663,15255.843002708647,43057.62771826196,0.7869894624265247,156.81050523131273,121.25048490960043,175.89251938267412,44.0
B,18895.042367948798,12677.431410754347,15172.545743781033,22210.94919190505,0.977412980205777,166.05791422749988,123.00774962198336,174.31327969103003,48.0
C,18686.46244214392,12603.990953620054,15302.842338769737,22243.98220154738,1.0,162.95514456135209,121.71745570917386,176.7835837219352,52.0
D,18099.853984593377,12012.442575445579,14869.54890548943,21479.174904872132,0.974654324559092,154.22894082448698,111.32439306666957,168.56873731793002,56.0
E,17236.15687862488,11282.790562451224,14196.875155378195,34348.046308064964,0.9222599566623965,141.38085311519495,98.50495283477866,155.81545948647224,60.0
F,16917.147653449905,11052.456602781302,14101.833628829585,39194.92711264951,0.8510979091615144,136.63537176901707,94.45815740794801,154.01355924374704,64.0
G,16480.348703368218,10800.553700271732,13788.812593104143,38524.50295928001,0.7869894624265247,130.1376873572079,90.03241178475837,148.07896727395917,68.0
B,16980.88675351983,11007.847230083466,13731.284685815603,19763.08089443608,0.977412980205777,137.58353466379884,93.6744040886976,146.98829087311583,72.0
C,16843.447343498352,10880.146635220906,13835.078679484295,19701.48460603166,1.0,135.53902903507012,91.43080013193013,148.956129871255,76.0
D,16380.285378891922,10516.447788009256,13513.553359836627,33588.39061096615,0.974654324559092,128.64917667392479,85.04088336173758,142.86030447203746,80.0
E,16147.26989154932,10403.329848537674,13448.434862559088,34290.37666506511,0.9222599566623965,125.18291124555556,83.05348575522702,141.6257174413853,84.0
F,15687.669023809618,10052.365541229712,13104.19038355007,36452.405574480734,0.8510979091615144,118.34603264635624,76.88730532820719,135.0991576016094,88.0
G,15380.338504642239,9915.124178671525,12864.272313709716,35813.502007635674,0.7869894624265247,113.77428007393445,74.47607721764818,130.5505308699209,92.0
B,16471.269078980415,10561.252675930775,13342.732651720537,32730.747646123906,0.977412980205777,130.00262170780863,85.82807173726108,139.62170039448782,96.0
C,15803.488126155737,10049.58192702068,12882.745520655608,31494.994765592237,1.0,120.06892134781343,76.83839930815127,130.90076594387762,100.0
D,15134.619667846511,9548.236960742512,12564.455076815413,34592.63399866108,0.974654324559092,110.11904359674764,68.03014315822675,124.86627082537365,104.0
E,14735.805236502641,9290.903006909522,12141.599707106396,33552.420627907166,0.9222599566623965,104.18640499204639,63.50897802464449,116.84932054073548,108.0
F,14272.757121044424,8928.090713113002,11858.654231879096,32539.081985196106,0.8510979091615144,97.29824621518169,57.134637334987936,111.48493363529893,112.0
G,14574.721000376981,9321.738548829184,12189.090274333923,33741.04502195694,0.7869894624265247,101.79016633381211,64.05073543724293,117.74969817272428,116.0
B,15197.18309078167,9727.144498306234,12293.81492736743,31074.564452920087,0.977412980205777,111.04971748659828,71.1734148055163,119.73518161951921,120.0
C,14724.19591637632,9274.754859395063,11965.987386434655,33056.3784327928,1.0,104.01370838093415,63.225267148458684,113.51987188039544,124.0
D,14150.917249207778,8931.541963653572,11590.736961132825,32375.149138858935,0.974654324559092,95.4857944319946,57.195273226128066,106.40546771425164,128.0
E,13658.79890065783,8495.688500968517,11248.988529641438,30890.464577966093,0.9222599566623965,88.16519597007004,49.53765381955079,99.92623064791175,132.0
F,13593.164517031391,8533.411890290008,11299.438720002145,31106.077549113685,0.8510979091615144,87.18883943054894,50.200425560242124,100.88272002216432,136.0
G,13697.669598967374,8851.908091362902,11450.97177083418,32018.588814761144,0.7869894624265247,88.74342430700818,55.79616564047934,103.75564779374719,140.0
B,14564.974019128716,9339.554970300516,11757.280092691359,33128.27082881934,0.977412980205777,101.64517329271803,64.3637566393097,109.56297286044737,144.0
C,13966.796989877952,8811.005711730779,11296.578554897433,31509.14032076777,1.0,92.74687910556825,55.07754141729067,100.82849391297216,148.0
D,13455.856292921291,8545.115982670239,11008.665759448542,30801.545813254153,0.974654324559092,85.14628528236122,50.406057711000074,95.36993116842596,152.0
E,12960.631861017748,8118.933278092397,10559.886538003992,29444.39803674532,0.9222599566623965,77.77948169703912,42.91834629253855,86.86148841274947,156.0
F,13169.96167929555,8341.959384348647,10914.401390542533,30377.542326424402,0.8510979091615144,80.89340652880931,46.836748199730266,93.58276512237975,160.0
G,13060.320643722383,8313.738160820605,10766.390274066132,29903.31605372812,0.7869894624265247,79.26242081420276,46.34092240627581,90.7766099985093,164.0
B,13619.588390111316,8631.210719178685,10890.615241497022,30769.897770189284,0.977412980205777,87.58191269269605,51.91867784949748,93.13180153525049,168.0
C,13489.32036409579,8632.596398930178,10988.424281139683,30886.162187918777,1.0,85.64408632695061,51.943023206514866,94.98617128995646,172.0
D,13144.19894215483,8390.189750120453,10685.389234289752,30063.456146681212,0.974654324559092,80.51016811788024,47.68411965949856,89.2409045176067,176.0
E,13392.254591668432,8622.982509173251,11014.76938399496,29704.53801857588,0.9222599566623965,84.20016628936006,51.77411435278726,95.48565029617028,180.0
F,13073.380723945385,8493.368722962356,10820.500533895609,30548.357521795184,0.8510979091615144,79.45669847825417,49.49689705472093,91.80249093562564,184.0
G,13142.291410749283,8650.127113419554,10859.414794394339,30859.430242122366,0.7869894624265247,80.48179227797371,52.25102475056136,92.54026965177736,188.0
B,13725.736423538998,8976.107279733735,10883.30145342896,31386.61427772907,0.977412980205777,89.16093760110819,57.97825250355165,92.99313881618797,192.0
C,13445.827877396196,8753.59767351243,10640.519079591935,27366.17378613141,1.0,84.99710571308711,54.06892511573332,88.39020750570884,196.0
D,13287.205273627867,8719.644118951337,10653.550331166165,30538.11786766887,0.974654324559092,82.63748552701915,53.472386552686096,88.63726809308912,200.0
B,25068.715625727422,20471.46293779893,19893.87580771876,31608.2047730929,0.977412980205777,255.0,255.0,255.0,0.0
C,24158.56123771897,19255.948460262985,19309.931147760934,30226.26314191184,1.0,244.35637283179133,238.58737474295702,252.75431525105964,4.0
D,23517.81331826446,18478.409270256692,18920.724159592544,29555.023366804715,0.974654324559092,234.82480741168192,224.9265926211709,245.3753074434329,8.0
E,22879.739038542142,17658.959439374834,18549.236667599933,28510.54760597388,0.9222599566623965,225.33301421906393,210.52947188013022,238.33224504429842,12.0
F,22162.507228037186,16760.534940136036,18021.680334514283,27510.090864685495,0.8510979091615144,214.6636983841697,194.74482527360138,228.3302604470493,16.0
G,21247.326886734958,15891.116818501725,17521.71947785781,26381.2298208887,0.7869894624265247,201.0497621863799,179.46979903050905,218.8514607930725,20.0
B,21757.203287136697,15920.168294652283,17520.78271399864,26601.372858884224,0.977412980205777,208.63452386728633,179.9802117416752,218.8337006087982,24.0
C,21308.292329796142,15380.483320656722,17206.787164970152,25899.58699782184,1.0,201.95666502798153,170.4983503269528,212.88063275987554,28.0
D,20835.69987387594,14887.49944261675,16947.338390987523,25174.862248068446,0.974654324559092,194.92652763090896,161.83699224492128,207.96172177652824,32.0
E,20296.289129761746,14413.779797405725,16620.141711537748,24737.30314570346,0.9222599566623965,186.9024223006702,153.51409232783124,201.7583725929703,36.0
F,19556.45696492983,13651.720632209799,16145.582931951929,23511.486472784298,0.8510979091615144,175.89691067138548,140.1252826659446,192.76117304056515,40.0
G,19142.32024764508,13384.59322166004,15890.286059529133,44783.17492463782,0.7869894624265247,169.73634253871094,135.4320538214311,187.9209783057896,44.0
B,19349.78499277477,13246.261227556879,15691.101414476285,22980.60495095309,0.977412980205777,172.82252312631778,133.00166413020517,184.1446199779981,48.0
C,18831.781293750428,12642.94234846664,15303.356512560084,22217.472135210894,1.0,165.11686229590484,122.40180258863414,176.79333198578652,52.0
D,18463.096833982454,12355.674924238583,15095.665516428326,21817.122411817552,0.974654324559092,159.6324277141307,117.35472876456821,172.8557010371691,56.0
E,18215.074972514623,12118.948565860852,15048.800419039126,21638.70291578122,0.9222599566623965,155.94293216304015,113.19562367270025,171.96718174010428,60.0
F,17699.008518993884,11716.742080040029,14698.915517277184,40595.600685154335,0.8510979091615144,148.26608919015243,106.12915648829627,165.33368465408824,64.0
G,17415.778479644414,11625.340354472908,14553.256330779031,40900.19230418348,0.7869894624265247,144.05284780920823,104.52329652062362,162.57211996718337,68.0
B,17737.021618878953,11664.180471150328,14368.685048121431,20839.884194003876,0.977412980205777,148.8315601614576,105.20568832586586,159.0728175980161,72.0
C,17266.124424214675,11238.705734577676,14118.373237865697,20159.203462930294,1.0,141.82664094001137,97.73041537583448,154.3271350733767,76.0
D,17030.350016437387,11064.494721913845,13976.318933481933,19917.043360908152,0.974654324559092,138.31933467512334,94.66965815895766,151.6339156476729,80.0
E,16563.574759729756,10676.99545427808,13644.729023812259,37688.73824791044,0.9222599566623965,131.37573211206728,87.86158579995407,145.34727484531356,84.0
F,16500.2414331091,10730.716238501062,13695.721368644361,37879.72146836812,0.8510979091615144,130.43360537606185,88.80541980615472,146.3140429714873,88.0
G,16157.512438604675,10554.26644039848,13418.060183055219,37742.74200594222,0.7869894624265247,125.33527616842534,85.70532880329091,141.04984135481246,92.0
B,16502.863418803783,10596.064308116327,13410.577646815485,32139.630812519434,0.977412980205777,130.4726092142651,86.43968608249652,140.90797932506402,96.0
C,16227.677003938608,10325.092723797596,13241.321090495749,33254.06626018581,1.0,126.37902227254578,81.67891797954928,137.69903013210913,100.0
D,15955.30716102349,10213.921119049657,13072.294598524308,35919.18824553669,0.974654324559092,122.32733377323619,79.72571601865697,134.49444274835588,104.0
E,16444.75137985839,10924.350666631954,13599.128784227894,37760.53484297154,0.9222599566623965,129.60815271883783,92.20743190788733,144.48273609305176,108.0
F,15373.416799078443,9769.316799236636,12785.893743380193,35437.10196456295,0.8510979091615144,113.67131494927789,71.91435059626399,129.06454500637324,112.0
G,16034.261322341703,10471.892628516154,12980.362705035703,36109.030059418044,0.7869894624265247,123.50183115503826,84.25808252795353,132.75149829863076,116.0
B,15406.132181656703,9656.498693879925,12516.29779127193,34462.75460392791,0.977412980205777,114.1579787367375,69.93222085093466,123.95325282512714,120.0
C,15096.716787281444,9500.460448249263,12384.569871742027,33757.71523347391,1.0,109.5552122135352,67.19074556116958,121.45581219265566,124.0
D,15026.094610672533,9896.734901726095,12277.133810198176,33947.09796262668,0.974654324559092,108.5046588273745,74.15299137328492,119.41892292537005,128.0
E,14435.7984166113,9057.075528498295,11920.41964802881,33022.912562519356,0.9222599566623965,99.723597476873,59.40080408599508,112.6559493206927,132.0
F,14766.489944199328,9360.181028175415,12336.877911745807,33956.97341140998,0.8510979091615144,104.64286109580853,64.72614105193082,120.55161633833848,136.0
G,14140.474371975599,8971.108311771366,11781.584841394404,32594.81630394111,0.7869894624265247,95.33044946014135,57.890424374699194,110.02376862181377,140.0
B,14582.584973836692,9120.476271674963,11792.891648781882,32900.22305556386,0.977412980205777,101.90714834064727,60.51470773230359,110.23813532777703,144.0
C,14175.518337051548,8763.58076035327,11550.537577419162,28596.12866201481,1.0,95.85175251171553,54.24432048613837,105.64332423969367,148.0
D,14044.524274482541,8778.956653451718,11525.265388664726,31982.936510896332,0.974654324559092,93.90312585353557,54.51446342972951,105.16418670156159,152.0
E,13784.91757890896,8608.516263240812,11375.836616346945,31571.733075001608,0.9222599566623965,90.04129793770777,51.51995322966544,102.33115412214673,156.0
F,13679.13603427814,8574.649535911376,11317.62769417644,27993.88102802773,0.8510979091615144,88.46772480188353,50.92494015614869,101.22756630325624,160.0
G,13655.133915211596,8697.485460014888,11347.927502453396,31505.817260156353,0.7869894624265247,88.11067679414472,53.08307548549815,101.80202289998239,164.0
B,13988.399573747749,8719.546344646187,11307.827603105261,31366.03164389414,0.977412980205777,93.06823237905789,53.47066873126059,101.04176555782254,168.0
C,13696.316369082686,8523.208368596665,11132.937326307543,27739.982722187902,1.0,88.72329408296419,50.02115731432058,97.72600618761815,172.0
D,14203.22271867216,8722.097549876285,11068.611703456892,30636.910427363488,0.974654324559092,96.26387421796368,53.5154914993529,96.50645132947145,176.0
E,13676.349330936187,8734.81958133733,11232.04245610956,31458.376973830444,0.9222599566623965,88.42627067553558,53.7390080785422,99.60494862394604,180.0
F,13639.467245079484,8684.06626826403,11240.42816935038,31256.287987044714,0.8510979091615144,87.87762431477556,52.84731032135581,99.76393406192011,184.0
G,13841.269228032053,9094.028868532574,11345.489486606091,29084.5895981643,0.7869894624265247,90.87956742534821,60.05004663655575,101.75580035383273,188.0
B,14353.44073351734,9323.984101567923,11414.101635160763,32713.306320058568,0.977412980205777,98.49847037083882,64.09018811963011,103.05662381094888,192.0
C,13733.318419818232,8797.838657146305,11097.15130810341,31157.56822727802,1.0,89.27372500369869,54.846206114612606,97.04753607849996,196.0
D,13711.915031745726,8880.449914887173,11106.87543036966,31290.293563829433,0.974654324559092,88.95533490451778,56.29762413612169,97.23189652501368,200.0
B,25313.634704702385,20676.49263851673,19988.10461377609,31928.849345067883,0.977412980205777,255.0,255.0,255.0,0.0
C,24416.34659437102,19537.579550289243,19477.06082000804,30442.95230651744,1.0,248.19110708011647,243.53542238996846,255.0,4.0
D,23790.200636198904,18767.273180659362,19093.824571234243,29729.923872992462,0.974654324559092,238.87675586390725,230.00171551346662,248.65713261059787,8.0
E,23187.78492319761,17969.738789714498,18731.23363381248,29052.82606053541,0.9222599566623965,229.91540834449273,215.98963266367352,241.7827407328952,12.0
F,22318.05211869486,17029.671746840588,18277.610956830424,28067.409328700574,0.8510979091615144,216.97753547369092,199.47335770592082,233.18247049900373,16.0
G,21370.3166123297,16111.222413157513,17628.220585451614,26477.302904382137,0.7869894624265247,202.87931883403255,183.33688973284978,220.87062419030207,20.0
B,21996.193503114842,16268.779510394106,17626.95949381592,26985.223283296637,0.977412980205777,212.18966748804291,186.10505010952838,220.84671504861453,24.0
C,21354.82514651401,15589.104288060338,17287.00200610006,26019.99967864302,1.0,202.64887263921483,174.16366471671878,214.4014326349514,28.0
D,21056.839810538997,15258.917933884593,17133.980515955976,25587.96338889539,0.974654324559092,198.2161360858178,168.36253738840333,211.50028541808962,32.0
E,20613.79182764019,14810.228515038321,16904.426035174973,25909.188810500327,0.9222599566623965,191.62549301850572,160.479399830848,207.14814283727378,36.0
F,20566.516601790037,14555.470817891579,16732.397936181973,24508.26026173889,0.8510979091615144,190.92224156148217,156.003497600709,203.88664773520915,40.0
G,19410.92870721026,13759.439623351036,16136.930854535263,38672.709156987,0.7869894624265247,173.73207787706363,142.01782478764414,192.597137581926,44.0
B,19814.05988942412,13661.766755113938,16013.079818241926,23523.402215019483,0.977412980205777,179.72893111605453,140.30178553284318,190.2490354368643,48.0
C,19636.052894990946,13461.490257987814,15982.539657865813,23499.7546738126,1.0,177.0809548040576,136.78307724582763,189.67002198460835,52.0
D,19014.376605536094,12982.612861365427,15563.280941501755,22793.868112221866,0.974654324559092,167.83309298015277,128.36955949342516,181.72126095124412,56.0
E,18375.76799936725,12356.624149591475,15151.764259316995,21727.920627027965,0.9222599566623965,158.33335131462346,117.37140594418435,173.91928179074603,60.0
F,18006.187686043453,12153.795659139056,14951.806329166291,41390.94145229502,0.8510979091615144,152.83559029586075,113.80786104281565,170.12826268617496,64.0
G,17839.380541870174,12061.283254228014,14942.00487806108,41804.32616297235,0.7869894624265247,150.3542194494555,112.18248726964035,169.94243615574243,68.0
B,18179.330532620428,11804.257859311292,14699.841434084401,21146.78651138435,0.977412980205777,155.41120906740102,107.66674328547542,165.3512391881983,72.0
C,17709.888467380333,11498.639447500096,14404.993986090016,20543.33554778767,1.0,148.42793589564178,102.29725633250877,159.7612017866394,76.0
D,17995.26324974493,11946.681705184956,14858.505509362005,21257.03798627742,0.974654324559092,152.67308180212137,110.16902375240754,168.35936464805457,80.0
E,17410.534577092927,11423.598977645823,14400.562387655104,32313.496593321357,0.9222599566623965,143.9748411568125,100.97885139270453,159.6771827416439,84.0
F,16713.796900429767,10778.804237170303,13916.415988110808,38306.441615136406,0.8510979091615144,133.610389639867,89.6502899823936,150.49821070138316,88.0
G,16348.096052008405,10636.504664585718,13598.024647761988,38172.31592940232,0.7869894624265247,128.17033832626268,87.15019290421858,144.46180267754204,92.0
B,17460.424653279886,11352.310275010537,14125.945458710557,20352.78573659759,0.977412980205777,144.7169903086897,99.72636219735277,154.47069744104707,96.0
C,16850.638374170616,10853.382004030587,13775.08979573422,19576.492146777266,1.0,135.6460005557097,90.96056557660442,147.81879561205844,100.0
D,16841.8015164931,10934.25801967278,13874.857877889755,20872.844399916536,0.974654324559092,135.51454622787801,92.38149669206011,149.71030701744755,104.0
E,16018.779795616463,10235.170090742073,13254.102646761323,36395.742495096136,0.9222599566623965,123.27153281101798,80.09904456123466,137.9413567252701,108.0
F,15803.287597874534,10116.833962234978,13167.181903469025,36475.44129262629,0.8510979091615144,120.06593835189126,78.01996727555081,136.2934190908074,112.0
G,15598.365624841243,10022.835695985988,13043.9317647102,36108.938679012484,0.7869894624265247,117.0175832458028,76.36848802980025,133.95670941230856,116.0
B,16489.376750490726,10574.580049322713,13380.47897395337,32538.665090939387,0.977412980205777,130.27198575935844,86.06222372149931,140.33733607147306,120.0
C,16297.036709475293,10411.800138268269,13378.543311885194,25056.934605226077,1.0,127.41079553433843,83.20230241168021,140.30063769259448,124.0
D,15462.031481081982,9751.29594976819,12674.114908884658,35173.47260887638,0.974654324559092,114.98951921191208,71.59773774715994,126.9453207438502,128.0
E,15219.527221012348,9589.452133665178,12603.238098339634,34931.027806026796,0.9222599566623965,111.38210177156088,68.7542629256223,125.6015613708424,132.0
F,14825.301497268158,9330.639801971422,12346.16553725252,33900.43004710573,0.8510979091615144,105.5177233443056,64.20712379856268,120.72770120631802,136.0
G,14909.686685127484,9558.882338436679,12421.172088624968,34468.89032530764,0.7869894624265247,106.77301097638117,68.21717448366124,122.14975668072022,140.0
B,15724.131815183968,10141.218779970337,12667.24733831178,35486.06378309525,0.977412980205777,118.8884417136854,78.44839028810598,126.81511789956116,144.0
C,15115.846100093444,9492.63839471615,12358.813629308965,34302.484150616685,1.0,109.83977388119467,67.05331792995275,120.96749744038695,148.0
D,14715.35177774107,9180.963451960672,12112.223976408683,33418.362441194135,0.974654324559092,103.88214574385502,61.57742225739085,116.29238360804251,152.0
E,14866.617696730742,9458.210810251136,12323.060464050566,34409.17597081411,0.9222599566623965,106.13233019066598,66.4484510159749,120.28965019301185,156.0
F,14327.042146269294,8994.934285434589,11962.04879442776,32882.56403951572,0.8510979091615144,98.10577325280927,58.309028914812544,113.44519978546026,160.0
G,13987.66755472845,8893.108579664316,11636.753130212259,29760.394653025312,0.7869894624265247,93.0573430933351,56.520027410060706,107.27789210856213,164.0
B,14707.785475016502,9213.724082159077,11841.058097915839,32996.389616214605,0.977412980205777,103.76959179366978,62.153002031458826,111.15132706130096,168.0
C,14240.841802353058,8899.936587392402,11622.048711214153,32146.432931595587,1.0,96.82348392758912,56.63999039983423,106.99910980019645,172.0
D,14397.412008683372,9014.446890318008,11855.85603409487,32792.30379399953,0.974654324559092,99.15257329201174,58.651850791017566,111.43188236971332,176.0
E,14417.906999311841,9238.464697266609,11869.006058980814,33201.53078259646,0.9222599566623965,99.45745035525073,62.58767613777651,111.68119479023413,180.0
F,14461.691476348013,9245.62015449613,11975.930545137504,33476.044978932485,0.8510979091615144,100.1087745259337,62.71339217042234,113.7083850570115,184.0
